subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_19,IM,0.2,0.004143536,-0.009929236,0.268516247,-0.007152537,0.012989384,3.264346207,0.00109717,variance,realignment,1.00000002,3.264346207
avatarRT_sub_19,WMP,0.2,0.000332182,0.027405258,21.44071752,0.993767476,0.993806267,-0.143793576,0.885663476,variance,subselection,0.07599998,0.143793576
avatarRT_sub_19,WMP,0.2,0.006769304,0.027405258,0.093210147,0.000140934,0.004946278,3.884252701,0.000102645,variance,realignment,0.99800002,3.884252701
avatarRT_sub_21,IM,0.2,0.001372173,-0.008457723,0.491824023,0.008241017,0.016888729,-2.646802946,0.008125669,variance,subselection,0.99399998,2.646802946
avatarRT_sub_21,IM,0.2,0.002116396,-0.008457723,1.317094104,0.053865549,0.066559554,-2.317819573,0.020459129,variance,realignment,0.98999998,2.317819573
avatarRT_sub_21,WMP,0.2,0.011496882,-0.077396694,3.43E-79,-0.003889468,1.19E-80,-7.461561794,8.55E-14,variance,subselection,0.99999998,7.461561794
avatarRT_sub_21,WMP,0.2,0.000393148,-0.077396694,19.95015995,0.999023527,0.999034518,-0.163838994,0.869857894,variance,realignment,0.10999998,0.163838994
avatarRT_sub_22,IM,0.2,0.000341987,0.032370257,7.312229563,0.1521666,0.156247071,1.934507176,0.053050801,variance,subselection,0.94400002,1.934507176
avatarRT_sub_22,IM,0.2,0.002262158,0.032370257,0.306951768,0.000436562,0.010940092,2.97531833,0.002926847,variance,realignment,1.00000002,2.97531833
avatarRT_sub_22,WMP,0.2,0.001085543,-0.009313736,0.533890718,0.007080341,0.014895385,-2.878178435,0.003999788,variance,subselection,0.99999998,2.878178435
avatarRT_sub_22,WMP,0.2,0.000712988,-0.009313736,14.53644493,0.695837639,0.700994502,-1.069840621,0.284691055,variance,realignment,0.69199998,1.069840621
avatarRT_sub_23,IM,0.2,0.000872537,0.002156425,4.823313913,0.158596654,0.162837073,-1.928364493,0.053809805,variance,subselection,0.95799998,1.928364493
avatarRT_sub_23,IM,0.2,0.000678964,0.002156425,13.18670364,0.685750612,0.687591673,0.890325707,0.373291021,variance,realignment,0.62800002,0.890325707
avatarRT_sub_23,WMP,0.2,0.000149209,0.023713673,28.95130312,0.62764541,0.630578732,0.957320094,0.338405716,variance,subselection,0.68600002,0.957320094
avatarRT_sub_23,WMP,0.2,0.000396368,0.023713673,18.9453637,0.806231851,0.807567491,0.780609801,0.435032025,variance,realignment,0.55400002,0.780609801
avatarRT_sub_24,IM,0.2,0.001332545,0.050764707,2.57E-06,-0.006323107,5.37E-08,4.461443705,8.14E-06,variance,subselection,1.00000002,4.461443705
avatarRT_sub_24,IM,0.2,0.00122048,0.050764707,4.75016963,0.228868911,0.23304616,1.805367448,0.071017201,variance,realignment,0.92800002,1.805367448
avatarRT_sub_24,WMP,0.2,0.002692081,-0.013288077,3.106624591,0.191259349,0.195603854,-1.864138807,0.062302214,variance,subselection,0.93999998,1.864138807
avatarRT_sub_24,WMP,0.2,0.002830295,-0.013288077,3.794950633,0.277263053,0.284518558,1.727533518,0.084071891,variance,realignment,0.91200002,1.727533518
avatarRT_sub_25,IM,0.2,0.000807143,0.057591051,10.02185161,0.427284786,0.437174232,1.371249467,0.170297202,variance,subselection,0.84200002,1.371249467
avatarRT_sub_25,IM,0.2,0.007341103,0.057591051,3.18E-23,-0.008408524,1.25E-24,5.764845124,8.17E-09,variance,realignment,1.00000002,5.764845124
avatarRT_sub_25,WMP,0.2,0.003610183,-0.041773174,2.45E-36,-0.023590698,6.50E-38,-5.720033048,1.07E-08,variance,subselection,0.99999998,5.720033048
avatarRT_sub_25,WMP,0.2,0.000522425,-0.041773174,14.94965683,0.617031321,0.618736547,-1.119413414,0.262963811,variance,realignment,0.74999998,1.119413414
avatarRT_sub_05,IM,0.5,0.004838447,-0.003797226,2.39E-06,-0.006671597,8.81E-08,-4.415755704,1.01E-05,variance,subselection,0.99999998,4.415755704
avatarRT_sub_05,IM,0.5,0.000556088,-0.003797226,14.5993639,0.552982482,0.557547508,-1.144055189,0.25260075,variance,realignment,0.73999998,1.144055189
avatarRT_sub_05,WMP,0.5,0.003592096,0.012133764,0.000132516,-0.004006749,4.61E-06,-4.113886818,3.89E-05,variance,subselection,0.99999998,4.113886818
avatarRT_sub_05,WMP,0.5,0.000466613,0.012133764,18.92843547,0.932305477,0.932845848,-0.550433288,0.582022222,variance,realignment,0.38199998,0.550433288
avatarRT_sub_06,IM,0.5,0.000411472,0.066698926,18.99676777,0.995857876,0.995876613,-0.097152244,0.922605492,variance,subselection,0.05999998,0.097152244
avatarRT_sub_06,IM,0.5,0.010247665,0.066698926,4.27E-25,-0.013769195,1.80E-26,6.024814073,1.69E-09,variance,realignment,1.00000002,6.024814073
avatarRT_sub_06,WMP,0.5,0.021493638,-0.085016667,8.98E-306,-0.006340383,2.77E-307,-11.99210928,3.91E-33,variance,subselection,0.99999998,11.99210928
