,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
138,OMP,ses_03,3,0.09269123914767843,0.08723865675832092,manifold_projection,avatarRT_sub_08
139,OMP,ses_03,3,0.9239714148186685,0.8844513179930001,voxel_data,avatarRT_sub_08
140,OMP,ses_03,3,0.09268017595966555,0.087337107126717,component_data,avatarRT_sub_08
141,OMP,ses_03,4,0.08490113243872478,0.08117146164713829,manifold_projection,avatarRT_sub_08
142,OMP,ses_03,4,0.9737818596109389,0.946056930598302,voxel_data,avatarRT_sub_08
143,OMP,ses_03,4,0.08486021584250782,0.08124139813699184,component_data,avatarRT_sub_08
144,IM,ses_02,1,0.1747575949434894,0.12660226013278925,manifold_projection,avatarRT_sub_09
145,IM,ses_02,1,1.0506062076586293,0.9407409398282323,voxel_data,avatarRT_sub_09
146,IM,ses_02,1,0.1767926431819016,0.12617852072220714,component_data,avatarRT_sub_09
147,IM,ses_02,2,0.17373004437620215,0.130005592934576,manifold_projection,avatarRT_sub_09
148,IM,ses_02,2,1.1166600504995787,0.9400801824941186,voxel_data,avatarRT_sub_09
149,IM,ses_02,2,0.17758318928791522,0.12956131600368606,component_data,avatarRT_sub_09
150,IM,ses_02,3,0.2597331564149874,0.19474271274548202,manifold_projection,avatarRT_sub_09
151,IM,ses_02,3,1.2844035037407369,1.063374064871232,voxel_data,avatarRT_sub_09
152,IM,ses_02,3,0.26392085462310877,0.19451511194117588,component_data,avatarRT_sub_09
153,IM,ses_02,4,0.2600908464907947,0.21151865603732206,manifold_projection,avatarRT_sub_09
154,IM,ses_02,4,1.260757677098203,1.188345577870939,voxel_data,avatarRT_sub_09
155,IM,ses_02,4,0.2627100940791808,0.21212387517420347,component_data,avatarRT_sub_09
156,WMP,ses_03,1,0.24890599874261862,0.17303962008168633,manifold_projection,avatarRT_sub_09
157,WMP,ses_03,1,1.1658300941481097,0.9150770756021158,voxel_data,avatarRT_sub_09
158,WMP,ses_03,1,0.25500567769964116,0.1730369064387412,component_data,avatarRT_sub_09
159,WMP,ses_03,2,0.20639691280778713,0.1764074416831586,manifold_projection,avatarRT_sub_09
160,WMP,ses_03,2,1.229261955187336,1.0581807757942345,voxel_data,avatarRT_sub_09
161,WMP,ses_03,2,0.2066199117259215,0.1757237160263833,component_data,avatarRT_sub_09
162,WMP,ses_03,3,0.22146866870337867,0.15604417193754955,manifold_projection,avatarRT_sub_09
163,WMP,ses_03,3,1.262456926463534,1.0617525373159502,voxel_data,avatarRT_sub_09
164,WMP,ses_03,3,0.2244938757218052,0.1561424267150192,component_data,avatarRT_sub_09
165,WMP,ses_03,4,0.193081324876431,0.12836499751373884,manifold_projection,avatarRT_sub_09
166,WMP,ses_03,4,1.16616773460726,0.9024627083156429,voxel_data,avatarRT_sub_09
167,WMP,ses_03,4,0.19661306500380465,0.12795377946021125,component_data,avatarRT_sub_09
168,OMP,ses_04,1,0.16134413188564442,0.12802808541672814,manifold_projection,avatarRT_sub_09
169,OMP,ses_04,1,0.9612986661306016,0.8335900101840047,voxel_data,avatarRT_sub_09
170,OMP,ses_04,1,0.16385630499742007,0.12781791430580852,component_data,avatarRT_sub_09
171,OMP,ses_04,2,0.16586372509621844,0.09554937980976805,manifold_projection,avatarRT_sub_09
172,OMP,ses_04,2,0.9692370676052421,0.7713452672462645,voxel_data,avatarRT_sub_09
173,OMP,ses_04,2,0.16706402237272275,0.09505430206222426,component_data,avatarRT_sub_09
174,OMP,ses_04,3,0.1697378886554518,0.10461497420899897,manifold_projection,avatarRT_sub_09
175,OMP,ses_04,3,0.9127495541751245,0.7598957426739665,voxel_data,avatarRT_sub_09
176,OMP,ses_04,3,0.17108045676405892,0.10411629006728632,component_data,avatarRT_sub_09
177,OMP,ses_04,4,0.14294003682041997,0.13679043731084917,manifold_projection,avatarRT_sub_09
178,OMP,ses_04,4,0.9603533350196598,0.9275100093050522,voxel_data,avatarRT_sub_09
179,OMP,ses_04,4,0.14308994644185147,0.13718528341732555,component_data,avatarRT_sub_09
180,IM,ses_02,1,0.11640307397512871,0.1064434863282119,manifold_projection,avatarRT_sub_10
181,IM,ses_02,1,0.9683720406699953,0.8653269553325323,voxel_data,avatarRT_sub_10
182,IM,ses_02,1,0.116785005069959,0.106609697626633,component_data,avatarRT_sub_10
