embedding_type,metric,subject_id,embedding_dim,score
pca,p,avatarRT_sub_07,10,0.001
pca,p,avatarRT_sub_08,10,0.004
pca,p,avatarRT_sub_10,10,0.009
pca,p,avatarRT_sub_11,10,0.001
pca,p,avatarRT_sub_13,10,0.423
pca,p,avatarRT_sub_14,10,0.007
pca,p,avatarRT_sub_15,10,0.001
pca,p,avatarRT_sub_16,10,0.047
pca,p,avatarRT_sub_17,10,0.001
pca,p,avatarRT_sub_18,10,0.005
pca,p,avatarRT_sub_19,10,0.001
pca,p,avatarRT_sub_21,10,0.001
pca,p,avatarRT_sub_22,10,0.001
pca,p,avatarRT_sub_23,10,0.012
pca,p,avatarRT_sub_24,10,0.036
pca,p,avatarRT_sub_25,10,0.023
pca,p,avatarRT_sub_05,15,0.001
pca,p,avatarRT_sub_06,15,0.037
pca,p,avatarRT_sub_07,15,0.002
pca,p,avatarRT_sub_08,15,0.002
pca,p,avatarRT_sub_10,15,0.011
pca,p,avatarRT_sub_11,15,0.001
pca,p,avatarRT_sub_13,15,0.445
pca,p,avatarRT_sub_14,15,0.003
pca,p,avatarRT_sub_15,15,0.001
pca,p,avatarRT_sub_16,15,0.002
pca,p,avatarRT_sub_17,15,0.001
pca,p,avatarRT_sub_18,15,0.003
pca,p,avatarRT_sub_19,15,0.001
pca,p,avatarRT_sub_21,15,0.001
pca,p,avatarRT_sub_22,15,0.001
pca,p,avatarRT_sub_23,15,0.003
pca,p,avatarRT_sub_24,15,0.011
pca,p,avatarRT_sub_25,15,0.01
pca,p,avatarRT_sub_05,20,0.001
pca,p,avatarRT_sub_06,20,0.053
pca,p,avatarRT_sub_07,20,0.001
pca,p,avatarRT_sub_08,20,0.001
pca,p,avatarRT_sub_10,20,0.012
pca,p,avatarRT_sub_11,20,0.001
pca,p,avatarRT_sub_13,20,0.398
pca,p,avatarRT_sub_14,20,0.007
pca,p,avatarRT_sub_15,20,0.001
pca,p,avatarRT_sub_16,20,0.001
pca,p,avatarRT_sub_17,20,0.001
pca,p,avatarRT_sub_18,20,0.001
pca,p,avatarRT_sub_19,20,0.001
pca,p,avatarRT_sub_21,20,0.001
pca,p,avatarRT_sub_22,20,0.001
pca,p,avatarRT_sub_23,20,0.002
pca,p,avatarRT_sub_24,20,0.008
pca,p,avatarRT_sub_25,20,0.009
tphate,p,avatarRT_sub_05,2,0.001
tphate,p,avatarRT_sub_06,2,0.007
tphate,p,avatarRT_sub_07,2,0.001
tphate,p,avatarRT_sub_08,2,0.343
tphate,p,avatarRT_sub_10,2,0.018
tphate,p,avatarRT_sub_11,2,0.001
tphate,p,avatarRT_sub_13,2,0.416
tphate,p,avatarRT_sub_14,2,0.576
tphate,p,avatarRT_sub_15,2,0.325
tphate,p,avatarRT_sub_16,2,0.15
tphate,p,avatarRT_sub_17,2,0.001
tphate,p,avatarRT_sub_18,2,0.011
tphate,p,avatarRT_sub_19,2,0.064
tphate,p,avatarRT_sub_21,2,0.002
tphate,p,avatarRT_sub_22,2,0.003
tphate,p,avatarRT_sub_23,2,0.001
tphate,p,avatarRT_sub_24,2,0.031
tphate,p,avatarRT_sub_25,2,0.076
tphate,p,avatarRT_sub_05,3,0.001
tphate,p,avatarRT_sub_06,3,0.001
tphate,p,avatarRT_sub_07,3,0.001
tphate,p,avatarRT_sub_08,3,0.001
tphate,p,avatarRT_sub_10,3,0.001
tphate,p,avatarRT_sub_11,3,0.002
tphate,p,avatarRT_sub_13,3,0.015
tphate,p,avatarRT_sub_14,3,0.553
tphate,p,avatarRT_sub_15,3,0.391
tphate,p,avatarRT_sub_16,3,0.034
tphate,p,avatarRT_sub_17,3,0.001
tphate,p,avatarRT_sub_18,3,0.014
tphate,p,avatarRT_sub_19,3,0.001
tphate,p,avatarRT_sub_21,3,0.001
tphate,p,avatarRT_sub_22,3,0.001
tphate,p,avatarRT_sub_23,3,0.001
tphate,p,avatarRT_sub_24,3,0.002
tphate,p,avatarRT_sub_25,3,0.008
tphate,p,avatarRT_sub_05,5,0.001
tphate,p,avatarRT_sub_06,5,0.001
tphate,p,avatarRT_sub_07,5,0.001
tphate,p,avatarRT_sub_08,5,0.001
tphate,p,avatarRT_sub_10,5,0.001
tphate,p,avatarRT_sub_11,5,0.127
tphate,p,avatarRT_sub_13,5,0.001
tphate,p,avatarRT_sub_14,5,0.086
tphate,p,avatarRT_sub_15,5,0.006
tphate,p,avatarRT_sub_16,5,0.016
tphate,p,avatarRT_sub_17,5,0.001
tphate,p,avatarRT_sub_18,5,0.734
tphate,p,avatarRT_sub_19,5,0.001
tphate,p,avatarRT_sub_21,5,0.001
tphate,p,avatarRT_sub_22,5,0.001
tphate,p,avatarRT_sub_23,5,0.001
tphate,p,avatarRT_sub_24,5,0.001
tphate,p,avatarRT_sub_25,5,0.001
tphate,p,avatarRT_sub_05,10,0.001
tphate,p,avatarRT_sub_06,10,0.001
tphate,p,avatarRT_sub_07,10,0.001
tphate,p,avatarRT_sub_08,10,0.001
tphate,p,avatarRT_sub_10,10,0.001
tphate,p,avatarRT_sub_11,10,0.001
tphate,p,avatarRT_sub_13,10,0.017
tphate,p,avatarRT_sub_14,10,0.041
tphate,p,avatarRT_sub_15,10,0.027
tphate,p,avatarRT_sub_16,10,0.226
tphate,p,avatarRT_sub_17,10,0.001
tphate,p,avatarRT_sub_18,10,0.459
tphate,p,avatarRT_sub_19,10,0.001
tphate,p,avatarRT_sub_21,10,0.001
tphate,p,avatarRT_sub_22,10,0.001
tphate,p,avatarRT_sub_23,10,0.001
tphate,p,avatarRT_sub_24,10,0.004
tphate,p,avatarRT_sub_25,10,0.001
tphate,p,avatarRT_sub_05,15,0.001
tphate,p,avatarRT_sub_06,15,0.001
tphate,p,avatarRT_sub_07,15,0.001
tphate,p,avatarRT_sub_08,15,0.001
tphate,p,avatarRT_sub_10,15,0.001
tphate,p,avatarRT_sub_11,15,0.004
tphate,p,avatarRT_sub_13,15,0.021
tphate,p,avatarRT_sub_14,15,0.029
tphate,p,avatarRT_sub_15,15,0.017
tphate,p,avatarRT_sub_16,15,0.228
tphate,p,avatarRT_sub_17,15,0.001
tphate,p,avatarRT_sub_18,15,0.02
tphate,p,avatarRT_sub_19,15,0.001
tphate,p,avatarRT_sub_21,15,0.001
tphate,p,avatarRT_sub_22,15,0.001
tphate,p,avatarRT_sub_23,15,0.001
tphate,p,avatarRT_sub_24,15,0.001
tphate,p,avatarRT_sub_25,15,0.001
tphate,p,avatarRT_sub_05,20,0.001
tphate,p,avatarRT_sub_06,20,0.001
tphate,p,avatarRT_sub_07,20,0.001
tphate,p,avatarRT_sub_08,20,0.001
tphate,p,avatarRT_sub_10,20,0.001
tphate,p,avatarRT_sub_11,20,0.001
tphate,p,avatarRT_sub_13,20,0.024
tphate,p,avatarRT_sub_14,20,0.025
tphate,p,avatarRT_sub_15,20,0.024
tphate,p,avatarRT_sub_16,20,0.328
tphate,p,avatarRT_sub_17,20,0.001
tphate,p,avatarRT_sub_18,20,0.047
tphate,p,avatarRT_sub_19,20,0.001
tphate,p,avatarRT_sub_21,20,0.001
tphate,p,avatarRT_sub_22,20,0.001
tphate,p,avatarRT_sub_23,20,0.001
tphate,p,avatarRT_sub_24,20,0.001
tphate,p,avatarRT_sub_25,20,0.001
pca,r,avatarRT_sub_05,2,0.003321761
pca,r,avatarRT_sub_06,2,-0.003609756
pca,r,avatarRT_sub_07,2,0.004209199
pca,r,avatarRT_sub_08,2,0.005161681
pca,r,avatarRT_sub_10,2,0.002450906
pca,r,avatarRT_sub_11,2,0.00490064
pca,r,avatarRT_sub_13,2,-0.000212635
pca,r,avatarRT_sub_14,2,0.001789526
pca,r,avatarRT_sub_15,2,0.002401813
pca,r,avatarRT_sub_16,2,0.002164434
pca,r,avatarRT_sub_17,2,0.005550065
pca,r,avatarRT_sub_18,2,-0.002184376
pca,r,avatarRT_sub_19,2,0.001839132
pca,r,avatarRT_sub_21,2,0.000985537
pca,r,avatarRT_sub_22,2,0.010466929
pca,r,avatarRT_sub_23,2,0.00420774
pca,r,avatarRT_sub_24,2,-0.000265108
pca,r,avatarRT_sub_25,2,0.001285169
pca,r,avatarRT_sub_05,3,0.004847937
pca,r,avatarRT_sub_06,3,-0.004715861
pca,r,avatarRT_sub_07,3,0.003166185
pca,r,avatarRT_sub_08,3,0.01239055
pca,r,avatarRT_sub_10,3,0.003346874
pca,r,avatarRT_sub_11,3,0.004997336
pca,r,avatarRT_sub_13,3,-0.002016573
pca,r,avatarRT_sub_14,3,0.002403182
pca,r,avatarRT_sub_15,3,0.005522231
pca,r,avatarRT_sub_16,3,0.000452335
pca,r,avatarRT_sub_17,3,0.012298833
pca,r,avatarRT_sub_18,3,0.000685295
pca,r,avatarRT_sub_19,3,0.004627965
pca,r,avatarRT_sub_21,3,0.004129673
pca,r,avatarRT_sub_22,3,0.008990976
pca,r,avatarRT_sub_23,3,0.002263983
pca,r,avatarRT_sub_24,3,0.001290485
pca,r,avatarRT_sub_25,3,0.002275529
pca,r,avatarRT_sub_05,5,0.009710402
pca,r,avatarRT_sub_06,5,-8.77E-05
pca,r,avatarRT_sub_07,5,0.007834208
pca,r,avatarRT_sub_08,5,0.013016088
pca,r,avatarRT_sub_10,5,0.006204485
pca,r,avatarRT_sub_11,5,0.010849795
pca,r,avatarRT_sub_13,5,-0.002198946
